from;to;distancia;tiempo
0;0;0;00:00
0;1;28.86;00:38
0;2;15.77;00:34
0;3;15.45;00:31
0;4;27.87;00:32
0;5;16.71;00:33
0;6;24.21;00:34
0;7;42.17;00:44
0;8;26.48;00:32
0;9;26.27;00:37
0;10;24.64;00:33
0;11;25.99;00:31
0;12;23.92;00:31
0;13;23.58;00:34
0;14;23.19;00:32
0;15;24.29;00:33
0;16;25.13;00:34
0;17;25.17;00:35
0;18;44.62;00:47
0;19;36.59;00:39
0;20;32.6;00:37
0;21;24.63;00:34
0;22;25.74;00:36
0;23;21.26;00:34
0;24;32.09;00:35
0;25;21.28;00:34
0;26;24.03;00:35
0;27;27.41;00:34
0;28;27.11;00:33
0;29;30.64;00:34
0;30;32.48;00:37
0;31;25.72;00:35
0;32;27.57;00:35
0;33;28.04;00:36
0;34;25.6;00:36
0;35;20.26;00:30
0;36;39.1;00:40
0;37;27.91;00:35
0;38;24.45;00:34
0;39;28.24;00:36
0;40;34.14;00:34
0;41;24.95;00:34
0;42;34.21;00:34
0;43;25.42;00:41
0;44;25.18;00:34
0;45;34.52;00:35
0;46;24.1;00:36
0;47;26.65;00:37
0;48;29.72;00:41
0;49;29.49;00:38
0;50;39.4;00:42
0;51;29.72;00:39
0;52;24.1;00:37
0;53;33.9;00:43
0;54;30.91;00:44
0;55;27.02;00:38
0;56;25.84;00:36
0;57;31.27;00:41
0;58;29.77;00:40
0;59;31.36;00:46
0;60;29.72;00:38
0;61;27.22;00:43
0;62;24.27;00:35
0;63;31.98;00:48
0;64;40.17;00:43
0;65;41.41;00:45
0;66;25.12;00:39
0;67;32.23;00:42
0;68;24.69;00:36
0;69;32.13;00:43
0;70;27.19;00:38
0;71;31.98;00:42
0;72;27.16;00:37
0;73;40.93;00:44
0;74;26.99;00:44
0;75;27.27;00:38
0;76;25.11;00:38
0;77;27.84;00:46
0;78;27.23;00:39
0;79;39.65;00:40
0;80;27.93;00:46
0;81;24.96;00:34
0;82;27.72;00:40
0;83;25.69;00:36
0;84;26.27;00:38
0;85;25.57;00:37
0;86;40.14;00:41
0;87;26.43;00:42
0;88;33.19;00:48
0;89;27.19;00:44
0;90;27.72;00:40
0;91;32.61;00:44
0;92;27.03;00:39
0;93;26.28;00:38
0;94;27.49;00:44
0;95;32.54;00:44
0;96;26.66;00:42
0;97;43.19;00:47
0;98;40.82;00:41
0;99;33.17;00:48
0;100;41.2;00:43
0;101;25.92;00:36
0;102;32.71;00:44
0;103;28.76;00:47
0;104;28.48;00:44
0;105;41.5;00:44
0;106;33.26;00:46
0;107;27.33;00:38
0;108;30.01;00:47
0;109;26.85;00:39
0;110;28.18;00:42
0;111;26.11;00:36
0;112;29.91;00:47
0;113;29.44;00:46
0;114;34.35;00:50
0;115;41.25;00:45
0;116;33.54;00:47
0;117;27.34;00:41
0;118;28.72;00:47
0;119;33.24;00:48
0;120;34.07;00:49
0;121;27.52;00:40
0;122;28.26;00:43
0;123;26.43;00:35
0;124;34.02;00:48
0;125;35.91;00:50
0;126;32.31;00:48
0;127;30.84;00:50
0;128;43.49;00:46
0;129;35;00:49
0;130;43.62;00:50
0;131;35.66;00:49
0;132;35.45;00:49
0;133;28.04;00:42
0;134;31.22;00:51
0;135;35.59;00:51
0;136;28.34;00:41
0;137;45.27;00:52
0;138;44.21;00:46
0;139;29.8;00:42
0;140;44.51;00:52
0;141;27.82;00:39
0;142;29.68;00:46
0;143;28.93;00:40
0;144;34.68;00:48
0;145;28.04;00:42
0;146;29.35;00:44
0;147;44.27;00:48
0;148;44;00:47
0;149;30.84;00:44
0;150;29;00:44
0;151;35.02;00:48
0;152;28.2;00:39
0;153;43.44;00:49
0;154;29.31;00:46
0;155;32.71;00:45
0;156;41.29;00:41
0;157;29.1;00:40
0;158;29.47;00:46
0;159;34.17;00:46
0;160;42.75;00:46
0;161;43.24;00:48
0;162;42.83;00:45
0;163;44.82;00:47
0;164;33.85;00:47
0;165;29.52;00:42
0;166;33.14;00:46
0;167;34.5;00:47
0;168;37.08;00:50
0;169;35.24;00:48
0;170;33.9;00:48
0;171;42.75;00:45
0;172;37.13;00:50
0;173;35.08;00:48
0;174;32.54;00:44
0;175;44.26;00:47
0;176;34.98;00:47
0;177;35.3;00:48
0;178;34.72;00:46
0;179;34.62;00:46
0;180;35.05;00:48
0;181;37.06;00:49
0;182;32.82;00:44
0;183;30.07;00:40
0;184;35.26;00:49
0;185;34.81;00:48
0;186;36.04;00:49
0;187;36.04;00:50
0;188;35.99;00:48
0;189;43.74;00:45
0;190;43.79;00:45
0;191;37.38;00:51
0;192;44.56;00:51
0;193;36.78;00:50
0;194;44.16;00:45
0;195;36.26;00:48
0;196;31.05;00:44
0;197;44.09;00:52
0;198;33.06;00:44
1;0;28.26;00:39
1;1;0;00:00
