Producto, Volumen mtro3
1,0.00105
2,0.02671
3,0.02
4,0.056515
5,0.025238
6,0.020912
7,1.12
8,0.0009958
9,0.003807
10,0.379956
11,0.00449
12,0.0263
13,0.000601
14,0.343217
15,0.005537
16,0.001125
17,1.276e-05
18,0.0009568
19,0.00105
20,0.040125
21,0.00214414
22,0.01071
23,0.10157854
24,0.30705
25,0.9137
26,0.037585
27,1.6
28,0.00438
29,0.21735
30,0.002975
31,0.08993931
32,0.0009568
33,0.27
34,0.010939
35,0.176
36,0.00054
37,0.1815
38,0.0009568
39,0.0009568
40,0.013735
41,0.000603
42,0.00712041
43,0.01267125
44,6.74e-06
45,0.03844909
46,0.094
47,0.0009539
48,0.00058347
49,0.1277
50,0.00094812
51,0.0009958
52,0.43168
53,0.01653
54,0.0009568
55,0.006222
56,0.08993931
57,0.000426
58,5.08e-06
59,0.00296
60,0.001
61,0.0009568
62,0.000322
63,0.2293869
64,0.007159
65,0.0009539
66,0.00345244
67,0.002159
68,0.25126
69,7.423e-05
70,0.091557
71,0.011129
72,0.0008
73,0.01801563
74,0.006235
75,0.006235
76,1.99605
77,0.02070027
78,0.006222
79,0.0371462
80,0.09
81,0.028782
82,0.234
83,0.00057302
84,0.0436
85,0.08006072
86,0.005304
87,0.029561
88,0.050449
89,0.020912
90,0.00039187
91,0.006222
92,0.006222
93,0.0009568
94,0.028782
95,0.39166253
96,0.001287
97,0.082965
98,0.053006
99,0.0009568
100,0.000611
101,0.00056
102,0.02987
103,0.003434
104,0.0004788
105,0.00094812
106,0.07246864
107,0.28865747
108,0.00198
109,0.01146429
110,0.83537743
111,0.04
112,0.0009958
113,0.000611
114,0.001125
115,0.00345244
116,0.000603
117,0.0009958
118,0.10157854
119,0.001125
120,0.05145
121,0.075924
122,0.02127219
123,0.234
124,0.001
125,0.00345244
126,0.06016
127,0.001
128,0.0001
129,0.00345244
130,0.066151
131,0.001899
132,0.08797584
133,0.0008
134,1.276e-05
135,0.42606366
136,0.066151
137,0.02127219
138,0.020912
139,0.019514
140,0.2293869
141,0.0009568
142,0.717
143,0.0009568
144,0.018076
145,6.135e-05
146,0.00035347
147,0.00339203
148,0.0038214
149,0.00399
150,0.00015121
151,0.04
152,0.020912
153,0.026416
154,0.0033827
155,0.43168
156,2.56986114
157,0.18
158,0.10649221
159,0.000611
160,0.000149
161,0.000611
162,0.40688133
163,0.28052
164,0.002647
165,0.001125
166,0.05756391
167,0.12
168,0.379956
169,1.56427
170,0.001125
171,0.0001
172,0.223125
173,0.3025
174,3.05
175,0.3
176,0.260025
177,0.0009568
178,0.276996
179,0.0009323
180,0.526842
181,0.00345244
182,0.04
183,0.001
184,0.00083164
185,0.01440517
186,0.0007308
187,0.83
188,0.00990201
189,0.01842676
190,0.091266
191,0.006235
192,0.0009539
193,0.00099773
194,0.0144
195,0.000485
196,0.01653
197,0.30598365
198,0.031977
199,0.093329
200,0.097
201,0.276996
202,0.08993931
203,0.000456
204,5.3e-05
205,0.21735
206,0.00105
207,0.0009568
208,0.00056
209,0.001
210,6.135e-05
211,0.00836071
212,1.276e-05
213,0.282558
214,0.00052
215,3.38
216,0.000792
217,0.0009568
218,0.002007
219,0.00296
220,0.013034
221,0.00891
222,0.54717
223,0.1056
224,0.00054
225,0.00083164
226,0.10494707
227,0.253318
228,0.0009568
229,0.001
230,0.0001
231,0.020335
232,0.141674
233,0.7637
234,0.00054
235,0.0009958
236,0.006222
237,0.00063091
238,0.011231
239,0.066485
240,0.001
241,0.001125
242,0.028782
243,0.00036221
244,0.001
245,0.42
246,0.002956
247,0.00057134
248,0.24423917
249,0.000389
250,0.02671
251,0.020335
252,0.62437233
253,0.79
254,0.002007
255,0.0009958
256,6e-05
257,0.526842
258,0.001
259,0.066151
260,0.028782
261,0.00049945
262,0.010036
263,0.0009568
264,3.05
265,0.000149
266,0.214957
267,0.006222
268,0.029341
269,0.000646
270,0.0436
271,0.05986
272,0.00056
273,0.57174
274,0.0009568
275,0.001252
276,0.0009568
277,0.013128
278,0.000474
279,0.000601
280,0.025285
281,0.000611
282,0.253318
283,0.001125
284,0.28865747
285,0.001135
286,0.00052
287,0.8208
288,0.002956
289,0.00434296
290,0.001125
291,0.03341599
292,0.002856
293,0.00094812
294,0.0003
295,0.001
296,0.000315
297,0.7637
298,0.00029
299,0.00029
300,0.0377
301,0.02358
302,0.0009539
303,0.006
304,0.00057302
305,0.001
306,0.405144
307,0.013735
308,0.02070027
309,0.002554
310,0.01440517
311,0.0009568
312,0.06
313,0.00056
314,0.001
315,0.000601
316,0.001125
317,0.0015
318,0.7637
319,0.06
320,0.0001
321,0.007159
322,0.000322
323,0.071824
324,0.017281
325,0.0009568
326,0.0009568
327,0.02070027
328,0.62437233
329,0.000132
330,0.0009568
331,0.001125
332,0.00061861
333,0.00054
334,0.01
335,0.0009568
336,1.68e-05
337,0.00024
338,0.0009568
339,0.001
340,0.223125
341,1.276e-05
342,0.00053478
343,0.001
344,0.000603
345,0.03232226
346,0.00056
347,0.08993931
348,0.0004788
349,0.00056
350,1.2356
351,0.0009958
352,0.001
353,0.00138274
354,0.10157854
355,0.019
356,0.0009568
357,0.093329
358,0.019193
359,0.031255
360,0.001
361,0.013794
362,0.001181
363,0.0070748
364,0.17
365,0.001125
366,0.006235
367,0.017281
368,0.05
369,0.00035347
370,0.001
371,0.07844938
372,0.30598365
373,0.001125
374,0.02254992
375,0.723
376,0.0006731
377,0.0001
378,0.103
379,0.08797584
380,0.046942
381,0.00642
382,0.021026
383,0.013735
384,0.000603
385,0.0009568
386,0.011129
387,0.000266
388,0.007918
389,0.000426
390,0.217191
391,0.266527
392,0.021026
393,0.0009568
394,0.00988
395,0.093329
396,0.384
397,0.04
398,6e-06
399,0.09621
400,0.0009568
401,0.000149
402,0.537464
