Nodo;Latitud;Longitud;Direccion
0;25.3828094;-100.118517;San Pedro, 67328 Santiago, N.L., Mexico
1;25.6024165;-100.2551054;Pedregal La Silla, 64898 Monterrey, N.L., Mexico
2;25.6180657;-100.2723015;C. Puerto Castilla 4672, Brisas La Punta, 64780 Monterrey, N.L., Mexico
3;25.632609;-100.3003853;Av. Alfonso Reyes 3640, Sin Nombre de Col 39, 64760 Monterrey, N.L., Mexico
4;25.6346604;-100.2957722;Burócratas Municipales, 64769 Monterrey, N.L., Mexico
5;25.63705;-100.2875537;Pino Silvestre 2923, Villa Los Pinos, 64770 Monterrey, N.L., Mexico
6;25.6407116;-100.292967;Alta Vista Sur, Monterrey, N.L., Mexico
7;25.6409233;-100.3043308;C. Pípila 110, Altamira, 64750 Monterrey, N.L., Mexico
8;25.6434389;-100.2957722;Alta Vista Sur, 64740 Monterrey, N.L., Mexico
9;25.6445611;-100.2931991;Río Pánuco 960, Alta Vista, 64750 Monterrey, N.L., Mexico
10;25.6471489;-100.285672;Marsella 303, Nueva España, 64840 Monterrey, N.L., Mexico
11;25.6491716;-100.3020942;Juana de Arco, 64700 Monterrey, N.L., Mexico
12;25.6515649;-100.28954;Av. Eugenio Garza Sada 2501 Sur, Tecnológico, 64849 Monterrey, N.L., Mexico
13;25.652031;-100.2793587;C. Playas las Hadas 3005, La Primavera, 67855 Monterrey, N.L., Mexico
14;25.6559645;-100.302489;Chiapas 1209, Nuevo Repueblo, 64700 Monterrey, N.L., Mexico
15;25.6575787;-100.3278389;Nueva Independencia 980, Independencia, 64720 Monterrey, N.L., Mexico
16;25.6583244;-100.3233309;Tepeyac 708, Independencia, 64720 Monterrey, N.L., Mexico
17;25.6587204;-100.3175155;Independencia, 64720 Monterrey, N.L., Mexico
18;25.6595251;-100.300138;Iguala 1602, Nuevo Repueblo, 64700 Monterrey, N.L., Mexico
19;25.6625497;-100.3201286;Tlaxcala 340, Independencia, 64720 Monterrey, N.L., Mexico
20;25.6653841;-100.2957722;Caracol, Monterrey, N.L., Mexico
21;25.6683026;-100.3010322;Condominios Constitución, 64019 Monterrey, N.L., Mexico
22;25.6731946;-100.3761083;Santa María, 64650 Monterrey, N.L., Mexico
23;25.6774027;-100.3001884;Manuel María del Llano 1527, Centro, 64000 Monterrey, N.L., Mexico
24;25.6779072;-100.3485246;Vicente Ferrara 308, Jardines del Cerro, 64050 Monterrey, N.L., Mexico
25;25.6864244;-100.2740849;Jesús M. Garza 4026, Madero, 64590 Monterrey, N.L., Mexico
26;25.6883188;-100.3038678;Vía a Tampico 1619, Treviño, 64580 Monterrey, N.L., Mexico
27;25.6893725;-100.2978762;64580 Monterrey, Nuevo Leon, Mexico
28;25.6902045;-100.3785651;San Jerónimo 4o. Sector, 64634 Monterrey, N.L., Mexico
29;25.6903645;-100.3452944;C. Salamanca 1320, Mitras Centro, 64460 Monterrey, N.L., Mexico
30;25.6913329;-100.2908632;Tampico, 64550 Monterrey, N.L., Mexico
31;25.6920133;-100.3017825;3a Vidriera 1116, Primero de Mayo, 64550 Monterrey, N.L., Mexico
32;25.6928723;-100.3052404;Asarco, Monterrey, N.L., Mexico
33;25.6942764;-100.3041258;Mina Sta. Eulalia 2015, Asarco, 64550 Monterrey, N.L., Mexico
34;25.6998648;-100.3504112;Popocatépetl 208, Cumbres 6o. Sector Secc a, 64430 Monterrey, N.L., Mexico
35;25.7009736;-100.2983364;Calle Nardo 948, Cementos, 64520 Monterrey, N.L., Mexico
36;25.7016205;-100.3438493;C. Cuatro Ciénegas 2002, Mitras Centro, 64460 Monterrey, N.L., Mexico
37;25.7018232;-100.318217;Bella Vista, 64410 Monterrey, N.L., Mexico
38;25.702387;-100.3308447;Garza Nieto, Monterrey, N.L., Mexico
39;25.7061207;-100.3473544;Laredo 126, Mitras Nte., 64320 Monterrey, N.L., Mexico
40;25.7105703;-100.2558176;Av. Oscar Arizpe, Industrias del Vidrio 3er Sector, 66490 San Nicolás de los Garza, N.L., Mexico
41;25.712972;-100.3430654;C. Río Lerma 117, Central, 64190 Monterrey, N.L., Mexico
42;25.714061;-100.3443288;Río Nilo 155, Mitras Nte., 64320 Monterrey, N.L., Mexico
43;25.7150206;-100.2971749;Garza Cantú, San Nicolás de los Garza, N.L., Mexico
44;25.7167656;-100.3646796;Gregorio Morales 5105, Valle Verde 4, 64339 Monterrey, N.L., Mexico
45;25.7177452;-100.3727522;Los Pinos 4218, Los Cedros, 64370 Monterrey, N.L., Mexico
46;25.7177654;-100.34593;Nueva Morelos, Monterrey, N.L., Mexico
47;25.7219211;-100.3645271;San Jorge, 64330 Monterrey, N.L., Mexico
48;25.7225104;-100.3600483;Av Abraham Lincoln 2501, San Jorge, 64178 Monterrey, N.L., Mexico
49;25.7242617;-100.3614591;Carmen Flores 4855, Graciano Bortoni, 64178 Monterrey, N.L., Mexico
