from;to;distance;time
0;0;0;00:00:00
0;1;31.48;00:26:00
0;2;33.735;00:30:00
0;3;35.575;00:29:00
0;4;35.986;00:31:00
0;5;35.465;00:30:00
0;6;36.239;00:31:00
0;7;37.219;00:30:00
0;8;37.019;00:31:00
0;9;36.654;00:30:00
0;10;36.075;00:29:00
0;11;37.795;00:33:00
0;12;36.811;00:30:00
0;13;36.752;00:32:00
0;14;38.052;00:33:00
0;15;41.711;00:36:00
0;16;42.018;00:38:00
0;17;41.895;00:37:00
0;18;38.126;00:31:00
0;19;41.543;00:36:00
0;20;38.656;00:32:00
0;21;39.641;00:34:00
0;22;46.167;00:42:00
0;23;40.382;00:34:00
0;24;44.204;00:37:00
0;25;43.115;00:38:00
0;26;41.386;00:38:00
0;27;41.1;00:36:00
0;28;50.136;00:43:00
0;29;46.543;00:39:00
0;30;41.53;00:39:00
0;31;41.81;00:38:00
0;32;41.85;00:40:00
0;33;42.318;00:40:00
0;34;46.648;00:39:00
0;35;42.683;00:39:00
0;36;47.894;00:40:00
0;37;44.806;00:43:00
0;38;45.472;00:41:00
0;39;47.455;00:41:00
0;40;46.348;00:42:00
0;41;49.447;00:41:00
0;42;49.462;00:41:00
0;43;44.194;00:42:00
0;44;49.343;00:45:00
0;45;49.94;00:46:00
0;46;49.089;00:42:00
0;47;49.619;00:44:00
0;48;49.345;00:44:00
0;49;49.705;00:44:00
0;50;49.653;00:42:00
0;51;50.548;00:46:00
0;52;50.29;00:45:00
0;53;52.582;00:48:00
0;54;50.712;00:45:00
0;55;50.726;00:44:00
0;56;51.544;00:46:00
0;57;51.577;00:47:00
0;58;49.862;00:47:00
0;59;51.689;00:47:00
0;60;54.031;00:48:00
0;61;54.03;00:48:00
0;62;54.048;00:48:00
0;63;54.091;00:49:00
0;64;53.923;00:48:00
0;65;54.217;00:47:00
0;66;54.194;00:50:00
0;67;51.668;00:46:00
0;68;52.009;00:47:00
0;69;52.217;00:48:00
0;70;52.756;00:50:00
0;71;53.456;00:50:00
0;72;52.544;00:49:00
0;73;51.98;00:47:00
0;74;54.052;00:52:00
0;75;52.724;00:49:00
0;76;53.834;00:53:00
0;77;55.78;00:52:00
0;78;53.922;00:51:00
0;79;54.62;00:52:00
0;80;56.044;00:53:00
0;81;57.165;00:50:00
0;82;53.716;00:51:00
0;83;52.784;00:48:00
0;84;55.443;00:54:00
0;85;57.693;00:52:00
0;86;57.055;00:57:00
